mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480
23.15454545,-0.007283312,0.225227158,23.15833333,-0.006060038,0.21514618,38.81818182,0.020957309,1.662418829,38.91666667,0.008818011,1.621353718,0.781818182,-0.007011643,0.397034462,0.75,-0.0030394,0.394277244,0.0,0.0,0.0,0.0,0.0
20.60833333,0.034895105,0.644498866,20.38791209,-0.003822601,0.790757044,50.16666667,-0.090909091,1.696699113,45.92307692,0.022338948,3.287115484,1.55,0.022097902,0.514339824,0.692307692,0.000216058,0.607770199,426.0,3.48951049,62.9834033,72.86813187,0.767191478
21.94285714,0.035714286,0.386683087,21.94285714,0.035714286,0.386683087,47.0,-0.042857143,0.816496581,47.0,-0.042857143,0.816496581,1.714285714,-0.025,0.470561974,1.714285714,-0.025,0.470561974,579.1428571,2.842857143,30.74317578,579.1428571,2.842857143
22.725,0.022,0.15,22.725,0.022,0.15,46.0,0.0,1.414213562,46.0,0.0,1.414213562,2.0,-0.032,0.230940108,2.0,-0.032,0.230940108,654.25,2.74,17.74589154,654.25,2.74
22.98888889,-0.001,0.220479276,22.98888889,-0.001,0.220479276,50.11111111,0.14,2.204792759,50.11111111,0.14,2.204792759,0.988888889,-0.000333333,0.378960567,0.988888889,-0.000333333,0.378960567,734.4444444,2.396666667,32.84094666,734.4444444,2.396666667
23.8,0.017470588,0.324037035,23.8,0.017470588,0.324037035,49.77777778,-0.019705882,1.394433378,49.77777778,-0.019705882,1.394433378,0.988888889,-0.008264706,0.378960567,0.988888889,-0.008264706,0.378960567,837.4444444,1.691176471,26.03896653,837.4444444,1.691176471
25.22857143,0.056428571,0.61295537,25.22857143,0.056428571,0.61295537,46.71428571,-0.114285714,1.603567451,46.71428571,-0.114285714,1.603567451,0.814285714,0.016428571,0.318478526,0.814285714,0.016428571,0.318478526,903.7142857,1.535714286,16.829679,903.7142857,1.535714286
25.86,0.014,0.207364414,25.86,0.014,0.207364414,46.4,0.08,1.516575089,46.4,0.08,1.516575089,1.14,0.024,0.219089023,1.14,0.024,0.219089023,923.8,0.64,5.069516742,923.8,0.64
26.53333333,0.020571429,0.250333111,26.53333333,0.020571429,0.250333111,44.33333333,-0.034285714,0.516397779,44.33333333,-0.034285714,0.516397779,1.166666667,0.013714286,0.206559112,1.166666667,0.013714286,0.206559112,940.1666667,0.485714286,5.036533199,940.1666667,0.485714286
26.34,0.004,0.089442719,26.34,0.004,0.089442719,43.6,-6.07e-13,0.547722558,43.6,-6.07e-13,0.547722558,1.16,0.044,0.397492138,1.16,0.044,0.397492138,943.4,-0.18,1.673320053,943.4,-0.18
